EntityName,Address,Ethereum,Polygon,Arbitrum,Optimism,BNB,Avalanche,Base
Stackup,0xca7660c437fbc040ae2cf43e30e37a2071ffe940,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Stackup,0xd6eeaf9408c01baf62aae5faa58b5bdec6bf5fa7,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Stackup,0x1331237a04fce5d5d4950109c3a66676315de7f8,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Stackup,0x6216a5c3a987c2a441e38d8400da9cbccfcf7f30,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Stackup,0xff5ee952e5444a1b7878f7daf175f8dd6aeb6cf7,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Stackup,0xffa16e0834c31d74a834331c24ac340be1cb27a9,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Stackup,0xb5267734285b9c6d3f04080d75a1dcd084d95cca,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Stackup,0xc1546ddf708b22ee9c94e5ef2c5ccfed656c0cfb,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Stackup,0x4c2760744564c27717d5e54210044f76d1bcfca6,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Stackup,0x6807b9d242e0d25db9a46c57b3f172a915eba759,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Stackup,0x26d6440f50dc457735c1f0397b1f29e03d81b7e8,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Stackup,0x3b40a0209c75100460f2287c8382c4f00cbc14de,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Biconomy,0xbae8a5e668769ad612f45758306dc1961de9a645,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biconomy,0xc251a9fb38f6272813f7d8b50dfc1b68400764b4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biconomy,0x931ea9c1f469c56481fa33c23d365092e3f473cb,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biconomy,0xa0104fd8afbe3cf0b8b21ccf0890a8100941cf2d,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biconomy,0x125ad1988cf1ec8c2dd7357621ad825603768365,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biconomy,0x3540b9de3c81b87d565884d4b73e3a48465744e6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biconomy,0x37f1e47461465fc5cffd6cf0cc0bad3214ff4d38,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biconomy,0xf5e78bb0fae26ddf88b5cf36fe8be63a51d66b95,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biconomy,0x38de38e6c2140e7382f4cc473775e290bda1f7ec,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biconomy,0x962718024f19a40959dc25f1546216b3293f1da1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biconomy,0x85ea2ed4e0ef2121b02a05c2da5ce5f4a7d6548d,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biconomy,0x6dcdd525084aef7ba3819ba819b3fbba0bf9af2e,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Biconomy,0x42cd60db9fec81eeb6059c3a39c8c1411418896a,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
